"GEO_ID","NAME","NAICS2017","NAICS2017_LABEL","YEAR","RCPTOT","RCPTOT_S","PAYANN","PAYANN_S","EMP","EMP_S","EMPQ1PW","EMPQ1PW_S","HOURS","HOURS_S","PAYANPW","PAYANPW_S","CSTMTOT","CSTMTOT_S","VALADD","VALADD_S","INVTOTB","INVTOTB_S","INVFINB","INVFINB_S","INVWIPB","INVWIPB_S","INVMATB","INVMATB_S","INVTOTE","INVTOTE_S","INVFINE","INVFINE_S","INVWIPE","INVWIPE_S","INVMATE","INVMATE_S","RCPTOT_IMP","PAYANN_IMP","EMP_IMP",
"Geographic identifier code","Geographic Area Name","2017 NAICS code","Meaning of NAICS code","Year","Sales, value of shipments, or revenue ($1,000)","Relative standard error for estimate of sales, value of shipments, or revenue (%)","Annual payroll ($1,000)","Relative standard error for estimate of annual payroll (%)","Number of employees","Relative standard error for estimate of number of employees (%)","Production workers for pay period including March 12","Relative standard error for estimate of production workers for pay period including March 12 (%)","Production workers annual hours (1,000)","Relative standard error for estimate of production workers annual hours (%)","Production workers annual wages ($1,000)","Relative standard error for estimate of production workers annual wages (%)","Total cost of materials ($1,000)","Relative standard error for estimate of total cost of materials  (%)","Value added ($1,000)","Relative standard error for estimate of value added (%)","Total inventories, beginning of year ($1,000)","Relative standard error for estimate of total inventories, beginning of year (%)","Finished goods inventories, beginning of year ($1,000)","Relative standard error for estimate of finished goods inventories, beginning of year (%)","Work-in-process inventories, beginning of year ($1,000)","Relative standard error for estimate of work-in-process inventories, beginning of year (%)","Materials and supplies inventories, beginning of year ($1,000)","Relative standard error for estimate of materials and supplies inventories, beginning of year (%)","Total inventories, end of year ($1,000)","Relative standard error for estimate of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error for estimate of finished goods inventories, end of year (%)","Work-in-process inventories, end of year ($1,000)","Relative standard error for estimate of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error for estimate of materials and supplies inventories, end of year  (%)","Range indicating imputed percent of total sales, value of shipments, or revenue","Range indicating imputed percent of total annual payroll","Range indicating imputed percent of total employees",
"0100000US","United States","31-33","Manufacturing","2018","5920395377","0.1","699992627","0.1","11798333","0.1","8436344","0.1","16325296","0.1","409478898","0.1","3314637543","0.1","2622973315","0.1","636269931","0.1","235019414","0.2","182593206","0.2","218657311","0.1","673812114","0.1","247958158","0.2","187438514","0.2","238415442","0.1","30% to less than 40%","20% to less than 30%","40% to less than 50%",
"0100000US","United States","31-33","Manufacturing","2019","5797468290","0.1","718949388","0.1","11876598","0.1","8498169","0.1","16423063","0.1","420416780","0.1","3224330000","0.1","2601937299","0.1","667553115","0.1","245570051","0.2","185918288","0.2","236064776","0.1","704724441","0.1","254929563","0.2","205832290","0.2","243962588","0.2","40% to less than 50%","20% to less than 30%","40% to less than 50%",
"0100000US","United States","31-33","Manufacturing","2020","5298283216","0.1","718178009","0.1","11812678","0.1","8396418","0.1","15601995","0.1","412966558","0.1","2881320773","0.1","2415234730","0.1","699837712","0.1","253831904","0.2","203938039","0.2","242067769","0.2","703409359","0.1","249918814","0.2","206873137","0.2","246617408","0.2","30% to less than 40%","20% to less than 30%","40% to less than 50%",
"0100000US","United States","31-33","Manufacturing","2021","6214404795","0.1","758893232","0.1","11885322","0.1","8432878","0.1","16120529","0.1","437359987","0.1","3401249965","0.1","2866714637","0.1","698733523","0.1","248235773","0.2","205949465","0.2","244548285","0.2","809802219","0.2","282501929","0.2","226846301","0.2","300453989","0.2","30% to less than 40%","20% to less than 30%","40% to less than 50%",
"0100000US","United States","311","Food manufacturing","2018","788273190","0.1","69458740","0.2","1516876","0.2","1228899","0.2","2394609","0.2","49197205","0.2","485381713","0.1","303028065","0.2","54941223","0.2","29091318","0.2","5987210","0.8","19862695","0.3","55886122","0.2","29038985","0.2","6089879","1.0","20757258","0.4","40% to less than 50%","30% to less than 40%","40% to less than 50%",
"0100000US","United States","311","Food manufacturing","2019","807247692","0.3","71784281","0.3","1534772","0.3","1242642","0.3","2438418","0.3","51029667","0.2","492351701","0.3","316898653","0.3","55249297","0.4","28748673","0.5","5962596","1.9","20538028","0.5","58465077","0.4","30506460","0.4","6359410","2.2","21599207","0.4","40% to less than 50%","30% to less than 40%","40% to less than 50%",
"0100000US","United States","311","Food manufacturing","2020","838012396","0.3","77730910","0.3","1577804","0.4","1266290","0.4","2465336","0.4","54894833","0.3","508740461","0.3","329939074","0.4","58770871","0.5","30417191","0.5","6665881","2.2","21687799","0.6","61477549","0.4","30869347","0.5","6967132","2.3","23641070","0.5","30% to less than 40%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","311","Food manufacturing","2021","920526252","0.3","82829645","0.3","1602168","0.4","1282776","0.4","2510653","0.5","58010945","0.3","560950954","0.3","363680500","0.4","61037195","0.5","30782391","0.5","6958347","2.4","23296457","0.6","68737785","0.5","34611851","0.6","7951622","2.3","26174312","0.6","30% to less than 40%","20% to less than 30%","30% to less than 40%",
"0100000US","United States","3111","Animal food manufacturing","2018","57731820","0.5","3038029","0.6","52656","0.7","38435","1.4","78959","2.4","1950418","1.4","38821571","0.5","18870837","0.8","3636620","0.5","1817750","0.6","190755","2.3","1628115","0.9","3778320","0.8","1739115","1.1","229978","7.3","1809227","1.2","30% to less than 40%","30% to less than 40%","50% to less than 60%",
"0100000US","United States","3111","Animal food manufacturing","2019","57212162","0.7","3101005","1.2","56947","1.3","42565","1.3","83874","1.1","2041421","1.3","35711417","0.9","21394327","1.7","3716063","1.2","1762997","2.0","222083","3.4","1730983","1.1","3525334","1.2","1675686","2.3","202976","3.2","1646672","1.3","20% to less than 30%","30% to less than 40%","50% to less than 60%",
"0100000US","United States","3111","Animal food manufacturing","2020","60338965","0.8","3419755","1.2","60045","1.4","44340","1.3","90897","1.2","2135560","1.2","37142816","1.0","23323074","1.7","3593889","1.3","1736003","2.2","197071","3.7","1660815","1.4","3806420","1.2","1875357","2.0","184642","3.7","1746421","1.3","40% to less than 50%","20% to less than 30%","50% to less than 60%",
"0100000US","United States","3111","Animal food manufacturing","2021","66961595","0.8","3671542","1.4","60207","1.5","44535","1.5","90536","1.5","2300644","1.5","41166810","1.3","26239153","1.4","3709185","1.2","1849683","1.8","181746","3.9","1677756","1.5","4533928","1.3","2231662","2.1","244135","4.6","2058131","1.2","30% to less than 40%","20% to less than 30%","40% to less than 50%",
"0100000US","United States","31111","Animal food manufacturing","2018","57731820","0.5","3038029","0.6","52656","0.7","38435","1.4","78959","2.4","1950418","1.4","38821571","0.5","18870837","0.8","3636620","0.5","1817750","0.6","190755","2.3","1628115","0.9","3778320","0.8","1739115","1.1","229978","7.3","1809227","1.2","30% to less than 40%","30% to less than 40%","50% to less than 60%",
"0100000US","United States","31111","Animal food manufacturing","2019","57212162","0.7","3101005","1.2","56947","1.3","42565","1.3","83874","1.1","2041421","1.3","35711417","0.9","21394327","1.7","3716063","1.2","1762997","2.0","222083","3.4","1730983","1.1","3525334","1.2","1675686","2.3","202976","3.2","1646672","1.3","20% to less than 30%","30% to less than 40%","50% to less than 60%",
"0100000US","United States","31111","Animal food manufacturing","2020","60338965","0.8","3419755","1.2","60045","1.4","44340","1.3","90897","1.2","2135560","1.2","37142816","1.0","23323074","1.7","3593889","1.3","1736003","2.2","197071","3.7","1660815","1.4","3806420","1.2","1875357","2.0","184642","3.7","1746421","1.3","40% to less than 50%","20% to less than 30%","50% to less than 60%",
"0100000US","United States","31111","Animal food manufacturing","2021","66961595","0.8","3671542","1.4","60207","1.5","44535","1.5","90536","1.5","2300644","1.5","41166810","1.3","26239153","1.4","3709185","1.2","1849683","1.8","181746","3.9","1677756","1.5","4533928","1.3","2231662","2.1","244135","4.6","2058131","1.2","30% to less than 40%","20% to less than 30%","40% to less than 50%",
